Residenza;Destinazione;valore
puglia;EMILIA ROMAGNA;2717
puglia;TOSCANA;1332
puglia;UMBRIA;656
puglia;MARCHE;824
puglia;LAZIO;2169
puglia;ABRUZZO;1250
puglia;MOLISE;706
puglia;CAMPANIA;491
puglia;BASILICATA;1044
puglia;CALABRIA;243
puglia;SICILIA;241
puglia;SARDEGNA;197
basilicata;PIEMONTE;232
basilicata;VAL D'AOSTA;43
basilicata;LOMBARDIA;424
basilicata;TRENTO;59
basilicata;VENETO;146
basilicata;FRIULI VENEZIA GIULIA;64
basilicata;LIGURIA;55
basilicata;EMILIA ROMAGNA;557
basilicata;TOSCANA;385
basilicata;UMBRIA;139
basilicata;MARCHE;87
basilicata;LAZIO;567
basilicata;ABRUZZO;165
basilicata;MOLISE;45
basilicata;CAMPANIA;282
basilicata;PUGLIA;480
basilicata;CALABRIA;100
basilicata;SICILIA;41
basilicata;SARDEGNA;33
calabria;PIEMONTE;1298
calabria;VAL D'AOSTA;310
calabria;LOMBARDIA;2758
calabria;TRENTO;367
calabria;VENETO;772
calabria;FRIULI VENEZIA GIULIA;372
calabria;LIGURIA;458
calabria;EMILIA ROMAGNA;1963
calabria;TOSCANA;1581
calabria;UMBRIA;724
calabria;MARCHE;333
calabria;LAZIO;2648
calabria;ABRUZZO;348
calabria;MOLISE;166
calabria;CAMPANIA;565
calabria;PUGLIA;644
calabria;BASILICATA;621
calabria;SICILIA;950
calabria;SARDEGNA;242
sicilia;PIEMONTE;2083
sicilia;VAL D'AOSTA;470
sicilia;LOMBARDIA;4176
sicilia;TRENTO;637
sicilia;VENETO;1450
sicilia;FRIULI VENEZIA GIULIA;724
sicilia;LIGURIA;697
sicilia;EMILIA ROMAGNA;2852
sicilia;TOSCANA;2299
sicilia;UMBRIA;665
sicilia;MARCHE;481
sicilia;LAZIO;2785
sicilia;ABRUZZO;463
sicilia;MOLISE;252
sicilia;CAMPANIA;475
sicilia;PUGLIA;573
sicilia;BASILICATA;285
sicilia;CALABRIA;816
sicilia;SARDEGNA;623
sardegna;PIEMONTE;267
sardegna;VAL D'AOSTA;44
sardegna;LOMBARDIA;430
sardegna;TRENTO;56
sardegna;VENETO;186
sardegna;FRIULI VENEZIA GIULIA;58
sardegna;LIGURIA;48
sardegna;EMILIA ROMAGNA;287
sardegna;TOSCANA;246
sardegna;UMBRIA;86
sardegna;MARCHE;48
sardegna;LAZIO;283
sardegna;ABRUZZO;33
sardegna;MOLISE;10
sardegna;CAMPANIA;30
sardegna;PUGLIA;35
sardegna;BASILICATA;12
sardegna;CALABRIA;11
sardegna;SICILIA;39
